Date,Hour,Light (kWh),Fan (kWh),AC (kWh),Lift (kWh),Computers (kWh),Other (kWh)
2024-01-01,0,17.0,2.5,0.0,0.02,16.75,0.8999999999999999
2024-01-01,1,19.0,2.0,0.0,0.02,10.75,0.9299999999999999
2024-01-01,2,23.0,2.75,0.0,0.02,15.75,0.21999999999999997
2024-01-01,3,16.5,1.9,0.0,0.02,20.25,0.62
2024-01-01,4,17.0,1.05,0.0,0.02,14.75,0.66
2024-01-01,5,6.5,2.25,0.0,0.02,12.5,0.54
2024-01-01,6,10.0,1.7999999999999998,0.0,0.02,23.0,0.43999999999999995
2024-01-01,7,15.5,3.9,0.0,0.02,5.25,0.7000000000000001
2024-01-01,8,10.5,2.9499999999999997,0.0,0.02,13.0,0.96
2024-01-01,9,50.0,5.1,19.439999999999998,2.976,263.0,3.4399999999999995
2024-01-01,10,123.5,5.3,23.24,3.36,235.5,4.93
2024-01-01,11,117.5,6.4,37.72,0.68,323.75,3.43
2024-01-01,12,65.5,8.85,35.84,0.672,234.5,2.2600000000000002
2024-01-01,13,131.0,6.0,56.64,2.74,220.0,3.2600000000000002
2024-01-01,14,50.0,8.649999999999999,79.84,2.676,341.75,4.04
2024-01-01,15,103.5,9.3,61.559999999999995,3.24,219.5,2.64
2024-01-01,16,142.5,9.35,74.6,0.016,354.25,1.83
2024-01-01,17,130.5,7.249999999999999,51.879999999999995,0.492,256.0,4.61
2024-01-01,18,75.0,6.2,31.200000000000003,2.748,200.25,2.07
2024-01-01,19,21.5,3.5999999999999996,0.0,0.02,21.5,0.4
2024-01-01,20,15.0,2.5,0.0,0.02,22.25,0.24
2024-01-01,21,9.0,2.1999999999999997,0.0,0.02,20.25,0.67
2024-01-01,22,21.5,3.65,0.0,0.02,9.0,0.36
2024-01-01,23,23.0,2.0500000000000003,0.0,0.02,18.25,0.26
2024-01-02,0,7.0,2.1,0.0,0.02,8.0,0.34
2024-01-02,1,13.0,3.65,0.0,0.02,19.5,0.4
2024-01-02,2,17.0,1.3,0.0,0.02,18.0,0.54
2024-01-02,3,9.5,3.45,0.0,0.02,14.5,0.66
2024-01-02,4,12.0,2.1999999999999997,0.0,0.02,19.75,0.42999999999999994
2024-01-02,5,22.5,2.5,0.0,0.02,17.0,0.64
2024-01-02,6,20.0,1.95,0.0,0.02,6.5,0.8200000000000001
2024-01-02,7,5.5,3.65,0.0,0.02,6.5,0.8799999999999999
2024-01-02,8,14.0,3.3000000000000003,0.0,0.02,21.5,0.42000000000000004
2024-01-02,9,139.5,8.649999999999999,35.56,3.196,245.0,2.8100000000000005
