Date,Hour,Light (kWh),Fan (kWh),AC (kWh),Lift (kWh),Computers (kWh),Other (kWh)
2024-01-01,0,0.17,0.192,0.0,0.0,0.43999999999999995,0.152
2024-01-01,1,0.13,0.10200000000000001,0.0,0.0,0.59,0.082
2024-01-01,2,0.14,0.078,0.0,0.0,0.97,0.176
2024-01-01,3,0.28,0.165,0.0,0.0,0.63,0.174
2024-01-01,4,0.47,0.078,0.0,0.0,0.79,0.112
2024-01-01,5,0.21000000000000002,0.066,0.0,0.0,0.51,0.178
2024-01-01,6,0.43999999999999995,0.066,0.0,0.0,0.73,0.086
2024-01-01,7,0.4,0.138,0.0,0.0,0.21999999999999997,0.102
2024-01-01,8,0.14,0.14700000000000002,0.0,0.0,0.67,0.132
2024-01-01,9,2.9499999999999997,0.369,2.16,0.0,14.98,0.938
2024-01-01,10,2.14,0.534,1.212,0.0,14.770000000000001,0.72
2024-01-01,11,2.59,0.339,1.368,0.0,12.42,0.754
2024-01-01,12,2.8100000000000005,0.396,1.684,0.0,12.82,0.43
2024-01-01,13,1.03,0.558,1.714,0.0,13.129999999999999,0.296
2024-01-01,14,1.7199999999999998,0.552,1.992,0.0,11.78,0.414
2024-01-01,15,1.07,0.471,2.076,0.0,14.15,0.502
2024-01-01,16,2.82,0.5189999999999999,3.604,0.0,10.309999999999999,0.26
2024-01-01,17,1.96,0.336,2.652,0.0,11.34,0.244
2024-01-01,18,2.7,0.492,1.01,0.0,12.809999999999999,0.714
2024-01-01,19,0.21000000000000002,0.23399999999999999,0.0,0.0,0.25,0.08
2024-01-01,20,0.15,0.10200000000000001,0.0,0.0,0.39,0.056
2024-01-01,21,0.35000000000000003,0.078,0.0,0.0,0.94,0.128
2024-01-01,22,0.21999999999999997,0.198,0.0,0.0,0.65,0.124
2024-01-01,23,0.39,0.189,0.0,0.0,0.8599999999999999,0.114
2024-01-02,0,0.17,0.11699999999999999,0.0,0.0,0.68,0.092
2024-01-02,1,0.10999999999999999,0.096,0.0,0.0,0.24,0.05
2024-01-02,2,0.14,0.14400000000000002,0.0,0.0,0.68,0.2
2024-01-02,3,0.3,0.162,0.0,0.0,0.27,0.158
2024-01-02,4,0.42000000000000004,0.22799999999999998,0.0,0.0,0.8799999999999999,0.122
2024-01-02,5,0.33,0.168,0.0,0.0,0.61,0.106
2024-01-02,6,0.42999999999999994,0.189,0.0,0.0,0.8300000000000001,0.104
2024-01-02,7,0.21000000000000002,0.17400000000000002,0.0,0.0,0.36,0.076
2024-01-02,8,0.14,0.177,0.0,0.0,0.81,0.128
2024-01-02,9,2.49,0.339,2.266,0.0,9.68,0.762
2024-01-02,10,2.6500000000000004,0.42599999999999993,1.892,0.0,11.21,0.862
2024-01-02,11,1.9700000000000002,0.336,1.594,0.0,12.0,0.286
2024-01-02,12,2.8499999999999996,0.405,2.648,0.0,8.2,0.618
2024-01-02,13,1.04,0.534,2.308,0.0,9.77,0.808
2024-01-02,14,1.22,0.41400000000000003,3.004,0.0,9.21,0.564
2024-01-02,15,2.41,0.5489999999999999,3.122,0.0,8.110000000000001,0.224
2024-01-02,16,2.72,0.43199999999999994,3.616,0.0,13.420000000000002,0.46
2024-01-02,17,2.55,0.336,3.548,0.0,11.29,0.996
2024-01-02,18,2.07,0.402,1.524,0.0,14.139999999999999,0.754
2024-01-02,19,0.47,0.11699999999999999,0.0,0.0,0.66,0.188
2024-01-02,20,0.24,0.162,0.0,0.0,0.27,0.05
2024-01-02,21,0.33,0.066,0.0,0.0,0.5,0.144
2024-01-02,22,0.21000000000000002,0.11399999999999999,0.0,0.0,0.21000000000000002,0.172
2024-01-02,23,0.25,0.18,0.0,0.0,0.5700000000000001,0.066
2024-01-03,0,0.33,0.08700000000000001,0.0,0.0,0.37,0.102
2024-01-03,1,0.36,0.201,0.0,0.0,0.4,0.17
2024-01-03,2,0.2,0.132,0.0,0.0,0.75,0.124
2024-01-03,3,0.49,0.21899999999999997,0.0,0.0,0.25,0.124
2024-01-03,4,0.44999999999999996,0.11399999999999999,0.0,0.0,0.51,0.096
2024-01-03,5,0.33,0.159,0.0,0.0,0.28,0.086
2024-01-03,6,0.38,0.11099999999999999,0.0,0.0,0.21999999999999997,0.166
2024-01-03,7,0.26,0.129,0.0,0.0,0.99,0.08
2024-01-03,8,0.38,0.084,0.0,0.0,0.33,0.112
2024-01-03,9,2.38,0.477,2.368,0.0,13.07,0.302
2024-01-03,10,1.54,0.579,0.84,0.0,10.16,0.696
2024-01-03,11,1.81,0.5249999999999999,0.812,0.0,10.069999999999999,0.344
2024-01-03,12,1.87,0.471,1.962,0.0,13.81,0.722
2024-01-03,13,2.0300000000000002,0.567,2.892,0.0,8.26,0.41
2024-01-03,14,2.96,0.534,3.02,0.0,10.540000000000001,0.512
2024-01-03,15,1.81,0.507,3.356,0.0,9.82,0.276
2024-01-03,16,2.49,0.552,2.226,0.0,10.84,0.722
2024-01-03,17,2.24,0.34500000000000003,1.778,0.0,9.0,0.804
2024-01-03,18,2.6100000000000003,0.486,1.656,0.0,10.61,0.312
2024-01-03,19,0.3,0.159,0.0,0.0,0.71,0.07
2024-01-03,20,0.33,0.23099999999999998,0.0,0.0,0.21999999999999997,0.05
2024-01-03,21,0.47,0.135,0.0,0.0,0.94,0.114
2024-01-03,22,0.3,0.237,0.0,0.0,0.34,0.064
2024-01-03,23,0.25,0.11399999999999999,0.0,0.0,0.21000000000000002,0.18
2024-01-04,0,0.26,0.10500000000000001,0.0,0.0,0.5800000000000001,0.148
2024-01-04,1,0.48,0.198,0.0,0.0,0.8599999999999999,0.092
2024-01-04,2,0.22999999999999998,0.22199999999999998,0.0,0.0,0.62,0.14
2024-01-04,3,0.37,0.21000000000000002,0.0,0.0,0.8300000000000001,0.114
2024-01-04,4,0.21000000000000002,0.066,0.0,0.0,0.21000000000000002,0.092
2024-01-04,5,0.12,0.21599999999999997,0.0,0.0,0.66,0.048
2024-01-04,6,0.49,0.14400000000000002,0.0,0.0,0.8999999999999999,0.114
2024-01-04,7,0.49,0.186,0.0,0.0,0.81,0.15
2024-01-04,8,0.38,0.10799999999999998,0.0,0.0,0.75,0.052
2024-01-04,9,2.74,0.567,1.88,0.0,10.09,0.538
2024-01-04,10,2.13,0.318,1.722,0.0,9.01,0.32
2024-01-04,11,1.6500000000000001,0.5369999999999999,2.336,0.0,10.620000000000001,0.572
2024-01-04,12,2.0300000000000002,0.318,3.208,0.0,13.260000000000002,0.92
2024-01-04,13,1.05,0.5760000000000001,2.966,0.0,9.399999999999999,0.53
2024-01-04,14,1.08,0.45599999999999996,3.392,0.0,8.139999999999999,0.576
2024-01-04,15,2.21,0.43799999999999994,3.238,0.0,11.240000000000002,0.952
2024-01-04,16,1.49,0.5820000000000001,3.482,0.0,10.649999999999999,0.79
2024-01-04,17,1.36,0.44099999999999995,3.54,0.0,8.19,0.908
2024-01-04,18,2.96,0.504,2.284,0.0,12.829999999999998,0.906
2024-01-04,19,0.41000000000000003,0.063,0.0,0.0,0.59,0.162
2024-01-04,20,0.29000000000000004,0.177,0.0,0.0,0.98,0.056
2024-01-04,21,0.44999999999999996,0.129,0.0,0.0,0.98,0.082
2024-01-04,22,0.42999999999999994,0.171,0.0,0.0,0.41000000000000003,0.19
2024-01-04,23,0.22999999999999998,0.099,0.0,0.0,0.76,0.094
2024-01-05,0,0.32,0.078,0.0,0.0,0.41000000000000003,0.156
2024-01-05,1,0.2,0.21599999999999997,0.0,0.0,0.25,0.114
2024-01-05,2,0.39,0.084,0.0,0.0,0.42000000000000004,0.06
2024-01-05,3,0.24,0.21299999999999997,0.0,0.0,0.42000000000000004,0.17
2024-01-05,4,0.42999999999999994,0.18,0.0,0.0,0.8300000000000001,0.042
2024-01-05,5,0.25,0.23099999999999998,0.0,0.0,0.59,0.096
2024-01-05,6,0.18,0.12,0.0,0.0,0.53,0.106
